# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.01	 max_steps=3000	 in_between=10
# fg_m=1	 fg_alpha=-3	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=240	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0577073 0.0271575 0
0.005 0.01 0.0575511 0.0301396 0
0.01 0.01 0.0603356 0.0354132 0
0.015 0.01 0.0627396 0.0339956 0
0.02 0.01 0.0701364 0.0354028 0
0.025 0.01 0.0645113 0.0361279 0
0.03 0.01 0.0612582 0.0310826 0
0.035 0.01 0.0610541 0.0315164 0
0.04 0.01 0.0587129 0.0348155 0
0.045 0.01 0.0673802 0.0345392 0
0.05 0.01 0.0622186 0.0326414 0
0.055 0.01 0.0685686 0.030823 0
0.06 0.01 0.0721547 0.0371848 0
0.065 0.01 0.059692 0.0303008 0
0.07 0.01 0.0639982 0.0335881 0
0.075 0.01 0.0689724 0.034682 0
0.08 0.01 0.064332 0.0319959 0
0.085 0.01 0.0633223 0.0320114 0
0.09 0.01 0.0646601 0.0292962 0
0.095 0.01 0.067995 0.0342855 0
0.1 0.01 0.0681887 0.0352447 0
0.105 0.015 0.0661342 0.0320299 0
0.11 0.015 0.0827827 0.0387414 0
0.115 0.015 0.0685332 0.0396695 0
0.12 0.015 0.0727924 0.0404681 0
0.125 0.015 0.0672228 0.0398965 0
0.13 0.015 0.0714015 0.0349561 0
0.135 0.015 0.0766056 0.0371085 0
0.14 0.015 0.0661712 0.0355332 0
0.145 0.015 0.0749902 0.0383285 0
0.15 0.015 0.0730006 0.0403275 0
0.155 0.025 0.0714417 0.0390025 0
0.16 0.025 0.0715734 0.0369278 0
0.165 0.025 0.0812597 0.0380547 0
0.17 0.025 0.0809114 0.0445905 0
0.175 0.025 0.076636 0.0353979 0
0.18 0.025 0.0854843 0.0439722 0
0.185 0.025 0.0693486 0.0362555 0
0.19 0.025 0.081994 0.0483491 0
0.195 0.025 0.0807832 0.0410791 0
0.2 0.045 0.0726717 0.0406842 0
0.205 0.045 0.0833547 0.0406525 0
0.21 0.045 0.08568 0.0398251 0
0.215 0.045 0.0857682 0.044218 0
0.22 0.045 0.086966 0.0487262 0
0.225 0.045 0.0764083 0.0333435 0
0.23 0.045 0.0836592 0.0406557 0
0.235 0.045 0.0759589 0.0382738 0
0.24 0.045 0.0859875 0.0399318 0
0.245 0.045 0.0938827 0.0428096 0
0.25 0.045 0.0920903 0.0452675 0
0.255 0.045 0.0973744 0.0462507 0
0.26 0.045 0.0929389 0.0421719 0
0.265 0.045 0.0925839 0.0433458 0
0.27 0.045 0.0881278 0.0453858 0
0.275 0.045 0.0952484 0.0605702 0
0.28 0.045 0.0970152 0.0430976 0
0.285 0.045 0.0998643 0.0504551 0
0.29 0.045 0.0934246 0.0504449 0
0.295 0.045 0.0958857 0.0471194 0
0.3 0.045 0.0927244 0.0479723 0
0.305 0.045 0.093193 0.0477061 0
0.31 0.045 0.103168 0.0465586 0
0.315 0.045 0.0998914 0.0477579 0
0.32 0.045 0.0983382 0.0508569 0
0.325 0.045 0.103141 0.0493508 0
0.33 0.045 0.0996071 0.0502656 0
0.335 0.045 0.104742 0.0531219 0
0.34 0.045 0.101974 0.0527636 0
0.345 0.045 0.121128 0.056068 0
0.35 0.045 0.102432 0.0523085 0
0.355 0.045 0.101429 0.0478898 0
0.36 0.045 0.113578 0.0549915 0
0.365 0.045 0.108632 0.0476454 0
0.37 0.055 0.111081 0.0668392 0
0.375 0.055 0.104046 0.0537615 0
0.38 0.055 0.0993653 0.0449232 0
0.385 0.055 0.114853 0.0585766 0
0.39 0.055 0.110525 0.055149 0
0.395 0.06 0.13593 0.0597175 0
0.4 0.06 0.108739 0.059721 0
0.405 0.06 0.123919 0.0656449 0
0.41 0.06 0.128648 0.0610367 0
0.415 0.06 0.117488 0.0504143 0
0.42 0.06 0.127959 0.0582619 0
0.425 0.06 0.121404 0.0622553 0
0.43 0.07 0.140936 0.066083 0
0.435 0.07 0.129527 0.0650715 0
0.44 0.07 0.127105 0.0563716 0
0.445 0.07 0.117623 0.0612465 0
0.45 0.07 0.127643 0.0594853 0
0.455 0.07 0.13369 0.0656845 0
0.46 0.07 0.124059 0.0732881 0
0.465 0.075 0.134456 0.0520412 0
0.47 0.075 0.144543 0.0599985 0
0.475 0.075 0.132149 0.0602625 0
0.48 0.075 0.135394 0.0720183 0
0.485 0.075 0.124953 0.0691631 0
0.49 0.085 0.143051 0.069099 0
0.495 0.085 0.153481 0.0659893 0
0.5 0.14 0.142574 0.067045 0
0.505 0.145 0.165152 0.0601533 0
0.51 0.145 0.152123 0.065653 0
0.515 0.15 0.142253 0.0684492 0
0.52 0.15 0.176407 0.0704545 0
0.525 0.15 0.13977 0.0656609 0
0.53 0.15 0.173342 0.0577284 0
0.535 0.155 0.147013 0.065444 0
