# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=0.5	 fg_t_min=0	 fg_t_max=5	 fg_t_number=1000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0560622 0.0297688 0
0.005 0.01 0.0607496 0.0330984 0
0.01 0.01 0.0555211 0.0295838 0
0.015 0.01 0.0649418 0.0340055 0
0.02 0.01 0.0617487 0.031854 0
0.025 0.01 0.0616282 0.0343318 0
0.03 0.01 0.0623826 0.0321345 0
0.035 0.01 0.0698835 0.0335235 0
0.04 0.01 0.0670482 0.0333716 0
0.045 0.01 0.060917 0.0272667 0
0.05 0.01 0.0660097 0.031955 0
0.055 0.01 0.0694458 0.0346072 0
0.06 0.015 0.0606507 0.032491 0
0.065 0.015 0.0653625 0.0307467 0
0.07 0.015 0.0620096 0.0311738 0
0.075 0.015 0.0643353 0.0319885 0
0.08 0.015 0.0523098 0.0290018 0
0.085 0.015 0.064738 0.0345641 0
0.09 0.015 0.0632577 0.0322212 0
0.095 0.015 0.0557127 0.0301198 0
0.1 0.015 0.0662528 0.0364212 0
0.105 0.015 0.0676272 0.0324093 0
0.11 0.015 0.0689422 0.0378703 0
0.115 0.015 0.0657249 0.0282485 0
0.12 0.015 0.0704898 0.0375703 0
0.125 0.015 0.0709016 0.034355 0
0.13 0.015 0.0674676 0.0340422 0
0.135 0.015 0.0679325 0.0337218 0
0.14 0.015 0.0639022 0.0332808 0
0.145 0.015 0.0728546 0.0452203 0
0.15 0.015 0.0573042 0.0349887 0
0.155 0.015 0.0698226 0.0371797 0
0.16 0.015 0.0679475 0.0292251 0
0.165 0.015 0.067371 0.0338946 0
0.17 0.015 0.0670813 0.0373484 0
0.175 0.015 0.0626516 0.0285761 0
0.18 0.015 0.068809 0.0409295 0
0.185 0.015 0.069742 0.034053 0
0.19 0.015 0.0672511 0.0327064 0
0.195 0.02 0.0676065 0.0348412 0
0.2 0.02 0.0619135 0.0332823 0
0.205 0.02 0.0668563 0.0348353 0
0.21 0.025 0.062728 0.029273 0
0.215 0.025 0.0716105 0.0376685 0
0.22 0.03 0.0676495 0.040333 0
0.225 0.03 0.0691515 0.0365153 0
0.23 0.035 0.0669011 0.0391486 0
0.235 0.035 0.0580207 0.0319532 0
0.24 0.035 0.0801977 0.0376505 0
0.245 0.035 0.0802771 0.0376269 0
0.25 0.035 0.0613119 0.0339209 0
0.255 0.035 0.0681581 0.0346863 0
0.26 0.035 0.0743975 0.0398969 0
0.265 0.035 0.0632475 0.0329368 0
0.27 0.04 0.0658694 0.0320962 0
0.275 0.04 0.0592102 0.0271466 0
0.28 0.04 0.0573986 0.0296191 0
0.285 0.04 0.0639955 0.0298169 0
0.29 0.04 0.0726728 0.0380823 0
0.295 0.04 0.0651882 0.0355174 0
0.3 0.04 0.0734347 0.0412913 0
0.305 0.04 0.0737319 0.038202 0
0.31 0.04 0.0739929 0.0438213 0
0.315 0.04 0.0740199 0.0343861 0
0.32 0.04 0.0807274 0.04441 0
0.325 0.045 0.0649217 0.0364073 0
0.33 0.045 0.0684052 0.0310364 0
0.335 0.045 0.076358 0.0369546 0
0.34 0.045 0.0743742 0.0372945 0
0.345 0.05 0.0676476 0.0328916 0
0.35 0.065 0.0642117 0.035659 0
0.355 0.075 0.0719627 0.040162 0
0.36 0.075 0.0784806 0.0407051 0
0.365 0.075 0.0694149 0.0368351 0
0.37 0.08 0.0715714 0.0361949 0
