# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=0.5	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=300	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.056707 0.0301078 0
0.005 0.01 0.0609859 0.0320256 0
0.01 0.01 0.0569433 0.0297414 0
0.015 0.01 0.0665602 0.0357749 0
0.02 0.01 0.0655992 0.0326859 0
0.025 0.01 0.0618792 0.0345149 0
0.03 0.01 0.0657574 0.0343134 0
0.035 0.01 0.0723749 0.0378103 0
0.04 0.01 0.0688832 0.0324953 0
0.045 0.01 0.0626344 0.0287355 0
0.05 0.01 0.0655885 0.0338998 0
0.055 0.01 0.0695503 0.0361803 0
0.06 0.015 0.0640039 0.0336893 0
0.065 0.015 0.0652336 0.0330197 0
0.07 0.015 0.065239 0.0282423 0
0.075 0.015 0.0628699 0.0332646 0
0.08 0.015 0.0574323 0.0341235 0
0.085 0.015 0.069653 0.0377806 0
0.09 0.015 0.0660581 0.0357812 0
0.095 0.015 0.0603613 0.0322326 0
0.1 0.015 0.0690075 0.0370195 0
0.105 0.015 0.0669534 0.0359909 0
0.11 0.015 0.0661548 0.0331136 0
0.115 0.015 0.0683647 0.0383974 0
0.12 0.015 0.0711639 0.0373673 0
0.125 0.015 0.0728812 0.0390187 0
0.13 0.015 0.0677033 0.0356725 0
0.135 0.015 0.0698309 0.034311 0
0.14 0.015 0.0678128 0.0380044 0
0.145 0.015 0.0787484 0.0451644 0
0.15 0.015 0.0694641 0.0348606 0
0.155 0.015 0.0703787 0.0337425 0
0.16 0.015 0.0747209 0.0372147 0
0.165 0.015 0.0706307 0.0379754 0
0.17 0.015 0.0737787 0.0354548 0
0.175 0.015 0.0660781 0.0340812 0
0.18 0.015 0.0765535 0.0356323 0
0.185 0.015 0.0810613 0.0400948 0
0.19 0.015 0.0766857 0.0415347 0
0.195 0.02 0.0785688 0.0447385 0
0.2 0.02 0.0683933 0.0367451 0
0.205 0.02 0.069323 0.0330368 0
0.21 0.025 0.0649389 0.0325832 0
0.215 0.025 0.0760835 0.0377442 0
0.22 0.03 0.0743137 0.0425974 0
0.225 0.03 0.0736094 0.0388896 0
0.23 0.035 0.0782808 0.0422665 0
0.235 0.035 0.0754765 0.0460666 0
0.24 0.035 0.0727544 0.0361909 0
0.245 0.035 0.078858 0.0430951 0
0.25 0.035 0.0671814 0.0341593 0
0.255 0.035 0.0861175 0.0420485 0
0.26 0.035 0.0755171 0.0416613 0
0.265 0.035 0.0889889 0.0463023 0
0.27 0.04 0.0926124 0.042048 0
0.275 0.04 0.0644178 0.0340994 0
0.28 0.04 0.0643885 0.0378586 0
0.285 0.04 0.0755606 0.0423847 0
0.29 0.04 0.0799041 0.0382995 0
0.295 0.04 0.0926399 0.0492813 0
0.3 0.04 0.0951781 0.0583113 0
0.305 0.04 0.0809435 0.0461548 0
0.31 0.04 0.0857844 0.0400209 0
0.315 0.04 0.0810323 0.0374351 0
0.32 0.04 0.0764944 0.0378219 0
0.325 0.045 0.082023 0.0464186 0
0.33 0.045 0.0833649 0.0451834 0
0.335 0.045 0.09002 0.0469084 0
0.34 0.045 0.0828622 0.0372005 0
0.345 0.05 0.0861362 0.0442279 0
0.35 0.065 0.0762593 0.036613 0
0.355 0.075 0.100444 0.0506564 0
0.36 0.075 0.0902767 0.0396246 0
0.365 0.075 0.0924162 0.0472946 0
0.37 0.08 0.0950824 0.0449359 0
0.375 0.08 0.0889653 0.0417284 0
0.38 0.09 0.0826066 0.0454418 0
0.385 0.09 0.0911688 0.0505493 0
0.39 0.09 0.100571 0.0480272 0
0.395 0.09 0.100131 0.0529269 0
0.4 0.09 0.104661 0.0486655 0
0.405 0.09 0.0965169 0.0470808 0
0.41 0.09 0.0977802 0.0429653 0
0.415 0.09 0.103476 0.0514838 0
0.42 0.105 0.0888419 0.042799 0
0.425 0.11 0.0828454 0.0430334 0
0.43 0.11 0.0794257 0.0408062 0
0.435 0.11 0.0855482 0.0408294 0
0.44 0.11 0.0920646 0.0472219 0
0.445 0.13 0.0865845 0.0444489 0
0.45 0.13 0.0933652 0.0516662 0
0.455 0.13 0.108117 0.0508923 0
0.46 0.13 0.0967715 0.0474542 0
0.465 0.13 0.10632 0.0511051 0
0.47 0.13 0.103399 0.0503901 0
0.475 0.135 0.0991965 0.0518962 0
0.48 0.135 0.112059 0.0599615 0
0.485 0.135 0.104658 0.0566307 0
0.49 0.15 0.0789844 0.0418045 0
0.495 0.185 0.102357 0.0454697 0
0.5 0.185 0.0994841 0.0458737 0
0.505 0.185 0.091564 0.048841 0
0.51 0.26 0.121032 0.0701238 0
0.515 0.26 0.115372 0.0592873 0
0.52 0.26 0.109311 0.056016 0
0.525 0.26 0.123606 0.0578928 0
0.53 0.265 0.11121 0.0508382 0
0.535 0.265 0.115934 0.0649438 0
0.54 0.27 0.111615 0.049599 0
0.545 0.28 0.100803 0.0590812 0
0.55 0.28 0.102796 0.0513051 0
0.555 0.28 0.122404 0.0627575 0
0.56 0.28 0.111445 0.0571419 0
0.565 0.28 0.125067 0.0556696 0
0.57 0.285 0.118641 0.0800708 0
0.575 0.285 0.10437 0.0513515 0
0.58 0.285 0.132667 0.0615548 0
0.585 0.285 0.114123 0.0677155 0
0.59 0.3 0.170779 0.0614408 0
0.595 0.305 0.172091 0.0644813 0
0.6 0.305 0.181403 0.0663742 0
0.605 0.305 0.161258 0.0720528 0
0.61 0.33 0.196529 0.0801754 0
0.615 0.345 0.162954 0.0783363 0
0.62 0.345 0.167636 0.0796951 0
0.625 0.345 0.166267 0.0658974 0
0.63 0.35 0.164516 0.0652956 0
0.635 0.35 0.167505 0.062455 0
0.64 0.445 0.164804 0.0654112 0
0.645 0.45 0.181968 0.0740455 0
0.65 0.455 0.163404 0.0614147 0
0.655 0.465 0.166479 0.067844 0
0.66 0.47 0.176427 0.0716564 0
0.665 0.47 0.170448 0.0852656 0
0.67 0.47 0.1765 0.0669786 0
0.675 0.475 0.184263 0.0748367 0
0.68 0.48 0.201162 0.0706204 0
0.685 0.485 0.192831 0.0622512 0
0.69 0.495 0.166377 0.0696225 0
0.695 0.505 0.150548 0.0787502 0
0.7 0.51 0.168671 0.0817448 0
0.705 0.51 0.156644 0.068937 0
0.71 0.51 0.159225 0.0822549 0
0.715 0.57 0.164803 0.0759764 0
0.72 0.58 0.161541 0.0752202 0
0.725 0.58 0.148677 0.0782296 0
0.73 0.58 0.170765 0.0699931 0
0.735 0.585 0.169124 0.0840698 0
0.74 0.59 0.179032 0.0914613 0
0.745 0.59 0.168678 0.079468 0
0.75 0.595 0.170152 0.0805046 0
0.755 0.595 0.182774 0.073389 0
0.76 0.595 0.152979 0.0816233 0
0.765 0.595 0.153769 0.0714133 0
0.77 0.595 0.168402 0.0862482 0
0.775 0.595 0.173552 0.0929893 0
0.78 0.595 0.173302 0.0743409 0
0.785 0.595 0.168768 0.0616473 0
0.79 0.595 0.166021 0.0945995 0
0.795 0.65 0.174936 0.091364 0
0.8 0.655 0.163793 0.0923343 0
0.805 0.665 0.176737 0.0794128 0
0.81 0.665 0.185608 0.0892489 0
0.815 0.665 0.182343 0.0795999 0
0.82 0.67 0.188926 0.0744038 0
0.825 0.67 0.201835 0.0814547 0
0.83 0.685 0.154372 0.100196 0
