# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.01	 max_steps=3000	 in_between=10
# fg_m=1	 fg_alpha=0.5	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=240	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0577073 0.0271575 0
0.005 0.01 0.0575511 0.0301396 0
0.01 0.01 0.0603356 0.0354132 0
0.015 0.01 0.0627396 0.0339956 0
0.02 0.01 0.0701364 0.0354028 0
0.025 0.01 0.0645113 0.0361279 0
0.03 0.01 0.0612582 0.0310826 0
0.035 0.01 0.0610541 0.0315164 0
0.04 0.01 0.0587129 0.0348155 0
0.045 0.01 0.0673802 0.0345392 0
0.05 0.01 0.0622186 0.0326414 0
0.055 0.01 0.0685686 0.030823 0
0.06 0.015 0.0739404 0.0384353 0
0.065 0.015 0.0647225 0.0321793 0
0.07 0.015 0.0624927 0.0349265 0
0.075 0.015 0.0711401 0.0348956 0
0.08 0.015 0.0610647 0.0309409 0
0.085 0.015 0.0578545 0.0316945 0
0.09 0.015 0.0707786 0.0326121 0
0.095 0.015 0.0715668 0.0336137 0
0.1 0.015 0.0689977 0.0397921 0
0.105 0.015 0.0682204 0.040347 0
0.11 0.015 0.0775976 0.0392253 0
0.115 0.015 0.0706828 0.0371787 0
0.12 0.015 0.0728888 0.0408036 0
0.125 0.015 0.0700859 0.040908 0
0.13 0.015 0.0779121 0.0350218 0
0.135 0.015 0.0739972 0.0341887 0
0.14 0.015 0.0691454 0.0307395 0
0.145 0.015 0.0739076 0.0338795 0
0.15 0.015 0.072958 0.038722 0
0.155 0.015 0.0671278 0.0363674 0
0.16 0.015 0.0737302 0.0429884 0
0.165 0.015 0.0777881 0.0330346 0
0.17 0.015 0.0777634 0.0337623 0
0.175 0.015 0.0766094 0.0398268 0
0.18 0.015 0.0806788 0.0408803 0
0.185 0.015 0.0773581 0.0398808 0
0.19 0.015 0.0809252 0.0432839 0
0.195 0.02 0.0872067 0.0420515 0
0.2 0.02 0.0727085 0.0442579 0
0.205 0.02 0.0751509 0.032351 0
0.21 0.025 0.077891 0.0397795 0
0.215 0.025 0.0821722 0.0414342 0
0.22 0.03 0.0801183 0.0444225 0
0.225 0.03 0.0745663 0.0398266 0
0.23 0.035 0.0782153 0.0406277 0
0.235 0.035 0.0829334 0.0386072 0
0.24 0.035 0.0891644 0.047401 0
0.245 0.035 0.0820091 0.0417083 0
0.25 0.035 0.0893668 0.0472768 0
0.255 0.035 0.0975168 0.0495399 0
0.26 0.035 0.0799437 0.0411772 0
0.265 0.035 0.0942404 0.0405232 0
0.27 0.04 0.0889386 0.0415028 0
0.275 0.04 0.0871132 0.0502791 0
0.28 0.04 0.0963173 0.0472321 0
0.285 0.04 0.106153 0.0471913 0
0.29 0.04 0.108356 0.0547476 0
0.295 0.04 0.108944 0.0513559 0
0.3 0.04 0.0887939 0.0499744 0
0.305 0.04 0.0825818 0.0442022 0
0.31 0.04 0.0930776 0.0456246 0
0.315 0.04 0.0970633 0.0529031 0
0.32 0.04 0.0892659 0.0472394 0
0.325 0.045 0.10167 0.042112 0
0.33 0.045 0.115253 0.0565509 0
0.335 0.045 0.0808778 0.0456254 0
0.34 0.045 0.0891057 0.046643 0
0.345 0.05 0.11032 0.0540017 0
0.35 0.065 0.113942 0.0578061 0
0.355 0.075 0.115828 0.0653808 0
0.36 0.075 0.0953964 0.0493573 0
0.365 0.075 0.123088 0.0585864 0
0.37 0.08 0.112189 0.0634767 0
0.375 0.08 0.127152 0.0690964 0
0.38 0.09 0.126323 0.0559368 0
0.385 0.09 0.132822 0.0652828 0
0.39 0.09 0.113535 0.0661427 0
0.395 0.09 0.129853 0.0578425 0
0.4 0.09 0.114937 0.0488114 0
0.405 0.09 0.135154 0.0718259 0
0.41 0.09 0.129764 0.05716 0
0.415 0.09 0.144556 0.0638721 0
0.42 0.105 0.131803 0.0711298 0
0.425 0.11 0.141526 0.0673014 0
0.43 0.11 0.137516 0.0616915 0
0.435 0.11 0.158919 0.0830812 0
0.44 0.11 0.140276 0.0637819 0
0.445 0.13 0.162653 0.0630152 0
0.45 0.13 0.142252 0.0563077 0
0.455 0.13 0.159343 0.0701647 0
0.46 0.13 0.166465 0.0704872 0
0.465 0.13 0.157457 0.0744226 0
0.47 0.13 0.171734 0.0678557 0
0.475 0.135 0.165256 0.0667074 0
0.48 0.135 0.149526 0.0763239 0
0.485 0.135 0.166915 0.0745091 0
0.49 0.15 0.152499 0.0903328 0
0.495 0.185 0.213852 0.0868629 0
0.5 0.185 0.171718 0.0655598 0
0.505 0.185 0.236281 0.0938868 0
0.51 0.26 0.178961 0.0541856 0
0.515 0.26 0.165404 0.0570487 0
0.52 0.26 0.15762 0.0608639 0
0.525 0.26 0.143354 0.0584616 0
0.53 0.265 0.148584 0.0681687 0
