# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=10	 fg_t_number=2000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.057036 0.0300558 0
0.005 0.01 0.0604351 0.0335123 0
0.01 0.01 0.0563898 0.0313141 0
0.015 0.01 0.0661185 0.0360058 0
0.02 0.01 0.0662301 0.0338724 0
0.025 0.01 0.0625401 0.0341239 0
0.03 0.01 0.0639761 0.0335429 0
0.035 0.01 0.0700111 0.03769 0
0.04 0.01 0.065589 0.0313881 0
0.045 0.01 0.0628452 0.0280783 0
0.05 0.01 0.0661033 0.0332547 0
0.055 0.01 0.0710639 0.0343099 0
0.06 0.015 0.0616339 0.0323512 0
0.065 0.015 0.058914 0.0302506 0
0.07 0.015 0.0634249 0.0265496 0
0.075 0.015 0.0649621 0.0332666 0
0.08 0.015 0.0606104 0.0320304 0
0.085 0.015 0.0616621 0.0309416 0
0.09 0.015 0.0663875 0.035984 0
0.095 0.015 0.0554158 0.0331539 0
0.1 0.015 0.066642 0.0355799 0
0.105 0.015 0.0712763 0.0363377 0
0.11 0.015 0.0720666 0.0341351 0
0.115 0.015 0.0642116 0.0332068 0
0.12 0.015 0.0719278 0.0336417 0
0.125 0.015 0.0645947 0.030937 0
0.13 0.015 0.0668149 0.035059 0
0.135 0.015 0.0682394 0.0316259 0
0.14 0.015 0.0762098 0.0343324 0
0.145 0.015 0.0773916 0.0440076 0
0.15 0.015 0.0651225 0.0346412 0
0.155 0.015 0.0700411 0.03392 0
0.16 0.02 0.0697188 0.0339233 0
0.165 0.02 0.0588039 0.0313601 0
0.17 0.02 0.0735488 0.0349028 0
0.175 0.02 0.0611091 0.0338783 0
0.18 0.02 0.0719383 0.0367969 0
0.185 0.02 0.0811529 0.0381762 0
0.19 0.02 0.0732617 0.042316 0
0.195 0.02 0.0724645 0.0371902 0
0.2 0.02 0.0679312 0.0400053 0
0.205 0.02 0.0746372 0.0342816 0
0.21 0.03 0.0747483 0.0372963 0
0.215 0.03 0.0790361 0.0425496 0
0.22 0.03 0.0774943 0.0404696 0
0.225 0.03 0.0688167 0.0374071 0
0.23 0.04 0.0793211 0.043977 0
0.235 0.04 0.0645448 0.0335834 0
0.24 0.04 0.0804857 0.0383752 0
0.245 0.04 0.0794886 0.0439232 0
0.25 0.04 0.0661759 0.037447 0
0.255 0.04 0.0670535 0.032249 0
0.26 0.04 0.0673053 0.0333079 0
0.265 0.05 0.0827749 0.0424565 0
0.27 0.055 0.0696826 0.0364547 0
0.275 0.055 0.0709271 0.0343781 0
0.28 0.055 0.0757667 0.0381051 0
0.285 0.055 0.0907042 0.0454832 0
0.29 0.055 0.0797883 0.0412892 0
0.295 0.055 0.0755458 0.04728 0
0.3 0.055 0.083277 0.0450294 0
0.305 0.055 0.0676157 0.035997 0
0.31 0.055 0.0719141 0.0381966 0
0.315 0.055 0.0837538 0.0425422 0
0.32 0.055 0.0812193 0.0382471 0
0.325 0.06 0.0791768 0.0419564 0
0.33 0.06 0.0854852 0.0395554 0
0.335 0.06 0.0705766 0.0461184 0
0.34 0.06 0.0666855 0.0329251 0
0.345 0.065 0.0749222 0.0428075 0
0.35 0.08 0.0827759 0.0444712 0
0.355 0.09 0.0835426 0.0397788 0
0.36 0.09 0.0785976 0.0417849 0
0.365 0.09 0.0798459 0.0355666 0
0.37 0.095 0.0816887 0.0428886 0
