# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=100
# initial_seed=314159265	 delta_t=0.01	 max_steps=10000	 in_between=10
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.25	 fg_t_number=250	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0603166 0.0311571 0
0.005 0.01 0.0651001 0.0319748 0
0.01 0.01 0.0664973 0.0356433 0
0.015 0.01 0.0636381 0.0336421 0
0.02 0.01 0.0662731 0.0371837 0
0.025 0.01 0.0649141 0.0320201 0
0.03 0.01 0.0677916 0.0344105 0
0.035 0.01 0.0658945 0.0366248 0
0.04 0.01 0.0683264 0.0341907 0
0.045 0.01 0.063992 0.0318515 0
0.05 0.01 0.0613569 0.0308577 0
0.055 0.01 0.0631478 0.0319873 0
0.06 0.015 0.0682418 0.0357823 0
0.065 0.015 0.0633215 0.0365001 0
0.07 0.015 0.0693522 0.0375382 0
0.075 0.015 0.0729391 0.0354959 0
0.08 0.015 0.0725219 0.0394725 0
0.085 0.015 0.072196 0.0359018 0
0.09 0.015 0.0629717 0.0316731 0
0.095 0.015 0.0680525 0.0369626 0
0.1 0.02 0.0713365 0.0383832 0
0.105 0.02 0.0699044 0.0364902 0
0.11 0.02 0.0776505 0.0384255 0
0.115 0.02 0.0726233 0.0380211 0
0.12 0.02 0.0680493 0.0365137 0
0.125 0.025 0.0745481 0.0410437 0
0.13 0.025 0.0730851 0.0408248 0
0.135 0.025 0.0714778 0.0383457 0
0.14 0.025 0.0801965 0.0385335 0
0.145 0.025 0.0785425 0.0392313 0
0.15 0.025 0.0749313 0.0379909 0
0.155 0.025 0.0730688 0.0371647 0
0.16 0.025 0.0715739 0.039366 0
0.165 0.025 0.0731511 0.0363501 0
0.17 0.025 0.0725624 0.0389753 0
0.175 0.025 0.0770668 0.0364065 0
0.18 0.025 0.080536 0.0415061 0
0.185 0.025 0.0771374 0.0390859 0
0.19 0.025 0.0762714 0.0403111 0
0.195 0.025 0.0778208 0.0390214 0
0.2 0.03 0.0827103 0.0406907 0
0.205 0.03 0.0769408 0.0399513 0
0.21 0.03 0.081669 0.0413344 0
0.215 0.03 0.0852943 0.0423507 0
0.22 0.03 0.0866352 0.0459148 0
0.225 0.03 0.0790128 0.0390819 0
0.23 0.03 0.0844779 0.0430552 0
0.235 0.03 0.0902651 0.043291 0
0.24 0.03 0.0886247 0.0436952 0
0.245 0.03 0.0908562 0.0477544 0
0.25 0.03 0.0829733 0.0476929 0
0.255 0.03 0.0902121 0.0471817 0
0.26 0.03 0.0880301 0.048852 0
0.265 0.03 0.0892844 0.0467938 0
0.27 0.03 0.0972494 0.0487775 0
0.275 0.03 0.0901981 0.045761 0
0.28 0.03 0.0935583 0.0457524 0
0.285 0.03 0.087469 0.0483962 0
0.29 0.035 0.0933401 0.0467266 0
0.295 0.035 0.0916376 0.0473132 0
0.3 0.035 0.0942941 0.049049 0
0.305 0.05 0.0939882 0.0499693 0
0.31 0.05 0.0988411 0.0525146 0
0.315 0.05 0.104847 0.0483072 0
0.32 0.05 0.0968078 0.0487027 0
0.325 0.05 0.0962492 0.0514541 0
0.33 0.05 0.0981739 0.0490325 0
0.335 0.05 0.107167 0.0527283 0
0.34 0.05 0.102051 0.0496632 0
0.345 0.05 0.0995253 0.052632 0
0.35 0.07 0.0988941 0.0483211 0
0.355 0.075 0.115164 0.055081 0
0.36 0.075 0.11721 0.0600692 0
0.365 0.075 0.117428 0.0522877 0
0.37 0.075 0.121432 0.060089 0
0.375 0.075 0.123497 0.0566678 0
0.38 0.08 0.118894 0.0544933 0
0.385 0.08 0.122007 0.0562986 0
0.39 0.08 0.116627 0.0598822 0
0.395 0.08 0.121468 0.0548067 0
0.4 0.08 0.122822 0.0531407 0
0.405 0.08 0.117344 0.0616781 0
0.41 0.08 0.115015 0.065024 0
0.415 0.08 0.12327 0.0603214 0
0.42 0.08 0.130524 0.0662179 0
0.425 0.08 0.128819 0.0672371 0
0.43 0.08 0.12571 0.0612933 0
0.435 0.08 0.118282 0.0616754 0
0.44 0.08 0.131665 0.0704604 0
0.445 0.08 0.136689 0.0654906 0
0.45 0.08 0.14207 0.0670771 0
0.455 0.085 0.128969 0.0662091 0
0.46 0.085 0.141733 0.0649231 0
0.465 0.085 0.135406 0.0776973 0
0.47 0.085 0.138054 0.0654498 0
0.475 0.1 0.148118 0.0718481 0
0.48 0.1 0.135115 0.0698158 0
0.485 0.1 0.139705 0.0701164 0
0.49 0.1 0.141738 0.0802537 0
0.495 0.11 0.161108 0.0690067 0
0.5 0.165 0.191508 0.0945376 0
0.505 0.165 0.188575 0.0833328 0
0.51 0.275 0.112459 0.0502042 0
0.515 0.31 0.172053 0.0664324 0
0.52 0.315 0.160693 0.0581787 0
0.525 0.32 0.180108 0.063218 0
0.53 0.32 0.172536 0.0573992 0
0.535 0.32 0.187006 0.0717444 0
0.54 0.32 0.181585 0.0652763 0
0.545 0.32 0.185368 0.067108 0
0.55 0.335 0.18255 0.0727228 0
0.555 0.365 0.183672 0.0476104 0
0.56 0.365 0.17889 0.0526973 0
0.565 0.365 0.182001 0.045261 0
0.57 0.385 0.151887 0.0623691 0
0.575 0.45 0.167027 0.0470866 0
0.58 0.47 0.181211 0.0490681 0
0.585 0.47 0.184298 0.0459291 0
0.59 0.47 0.16993 0.0443436 0
0.595 0.475 0.114715 0.0416017 0
0.6 0.475 0.19852 0.0511569 0
0.605 0.48 0.202617 0.0441901 0
0.61 0.48 0.20256 0.0433113 0
0.615 0.48 0.209547 0.0477707 0
0.62 0.485 0.208851 0.0476267 0
0.625 0.485 0.211671 0.0499166 0
0.63 0.49 0.184559 0.0476271 0
0.635 0.495 0.197346 0.0489533 0
0.64 0.5 0.200447 0.0447119 0
0.645 0.5 0.200501 0.0460234 0
0.65 0.5 0.119535 0.0464789 0
0.655 0.5 0.116739 0.0462723 0
0.66 0.51 0.136232 0.0456162 0
0.665 0.51 0.132009 0.0482892 0
0.67 0.515 0.137818 0.0414479 0
0.675 0.52 0.145711 0.0411462 0
0.68 0.525 0.0998315 0.0447754 0
0.685 0.525 0.094173 0.0411062 0
0.69 0.54 0.0960643 0.0417301 0
0.695 0.54 0.0992205 0.0452177 0
0.7 0.55 0.0661362 0.0306463 0
0.705 0.555 0.0975164 0.0425277 0
0.71 0.555 0.0915053 0.0406187 0
0.715 0.56 0.0845359 0.0371766 0
0.72 0.56 0.0620153 0.0325808 0
0.725 0.56 0.0794912 0.0373116 0
0.73 0.56 0.0802961 0.0412887 0
0.735 0.56 0.0760248 0.0377199 0
0.74 0.56 0.282472 0.0477499 0
0.745 0.565 0.286737 0.0499679 0
0.75 0.565 0.294607 0.0483383 0
0.755 0.565 0.296657 0.0493504 0
0.76 0.565 0.296039 0.0484649 0
0.765 0.57 0.298576 0.049782 0
0.77 0.575 0.304138 0.0511971 0
0.775 0.58 0.320294 0.0596037 0
0.78 0.585 0.321809 0.0584247 0
0.785 0.625 0.406294 0.0459159 0
0.79 0.635 0.409547 0.0556002 0
0.795 0.635 0.463263 0.0429695 0
0.8 0.64 0.46968 0.0391985 0
0.805 0.65 0.459433 0.0563289 0
0.81 0.655 0.455099 0.0472588 0
0.815 0.655 0.459032 0.0352798 0
0.82 0.66 0.47975 0.0468897 0
0.825 0.66 0.513548 0.0498188 0
0.83 0.66 0.515143 0.0398065 0
0.835 0.67 0.522178 0.0427317 0
0.84 0.675 0.519052 0.0516507 0
0.845 0.675 0.518563 0.0346549 0
0.85 0.675 0.517012 0.0444288 0
0.855 0.675 0.551416 0.0478561 0
0.86 0.68 0.556791 0.0416803 0
0.865 0.68 0.659915 0.0415662 0
0.87 0.685 0.657939 0.0477631 0
0.875 0.685 0.660737 0.042508 0
0.88 0.685 0.660935 0.0407959 0
0.885 0.685 0.661466 0.0441378 0
0.89 0.685 0.66233 0.0394711 0
0.895 0.695 0.671454 0.0383514 0
0.9 0.695 0.668173 0.0449264 0
0.905 0.695 0.671585 0.0367339 0
0.91 0.7 0.674621 0.046844 0
0.915 0.705 0.676839 0.0500614 0
0.92 0.705 0.679342 0.0463945 0
0.925 0.705 0.677965 0.0440688 0
0.93 0.705 0.677307 0.0453669 0
