# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.01	 max_steps=3000	 in_between=10
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=2	 fg_t_number=400	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0577091 0.0271581 0
0.005 0.01 0.0575525 0.030142 0
0.01 0.01 0.060339 0.0354152 0
0.015 0.01 0.062745 0.033996 0
0.02 0.01 0.07014 0.0354029 0
0.025 0.01 0.0645174 0.0361307 0
0.03 0.01 0.0612616 0.0310851 0
0.035 0.01 0.0610539 0.0315162 0
0.04 0.01 0.0587178 0.0348173 0
0.045 0.01 0.0673844 0.0345405 0
0.05 0.01 0.0622227 0.0326421 0
0.055 0.01 0.0685737 0.0308238 0
0.06 0.015 0.073974 0.038452 0
0.065 0.015 0.0647543 0.0322027 0
0.07 0.015 0.0625066 0.0349456 0
0.075 0.015 0.07116 0.0349017 0
0.08 0.015 0.0608106 0.0306747 0
0.085 0.015 0.0586144 0.0316511 0
0.09 0.015 0.0695278 0.0319963 0
0.095 0.015 0.0713403 0.0353341 0
0.1 0.015 0.0677578 0.0340057 0
0.105 0.015 0.0705378 0.0386281 0
0.11 0.015 0.0776562 0.0387425 0
0.115 0.015 0.0697914 0.03645 0
0.12 0.015 0.0697866 0.038379 0
0.125 0.015 0.069359 0.0447309 0
0.13 0.015 0.0764611 0.0362841 0
0.135 0.015 0.0723156 0.037847 0
0.14 0.015 0.0645854 0.0295151 0
0.145 0.015 0.0767934 0.0340221 0
0.15 0.015 0.0780499 0.0400644 0
0.155 0.015 0.0639747 0.0362978 0
0.16 0.02 0.0734262 0.0404801 0
0.165 0.02 0.0796251 0.033203 0
0.17 0.02 0.0845633 0.0393322 0
0.175 0.02 0.0794578 0.0380572 0
0.18 0.02 0.0749582 0.0371472 0
0.185 0.02 0.0701733 0.0359017 0
0.19 0.02 0.0874389 0.0446971 0
0.195 0.02 0.0832026 0.0408565 0
0.2 0.02 0.0698971 0.0408376 0
0.205 0.02 0.0725996 0.0383253 0
0.21 0.03 0.0788283 0.0359132 0
0.215 0.03 0.0768486 0.0378121 0
0.22 0.03 0.0892698 0.0466617 0
0.225 0.03 0.0758421 0.0405203 0
0.23 0.04 0.0919321 0.040114 0
0.235 0.04 0.0882712 0.0460996 0
0.24 0.04 0.0964048 0.0431472 0
0.245 0.04 0.0824774 0.042328 0
0.25 0.04 0.0992265 0.0490797 0
0.255 0.04 0.0861595 0.044045 0
0.26 0.04 0.079222 0.0450382 0
0.265 0.05 0.0983186 0.0451511 0
0.27 0.055 0.085776 0.0412271 0
0.275 0.055 0.0778994 0.0403136 0
0.28 0.055 0.0808159 0.0414849 0
0.285 0.055 0.0910592 0.0373168 0
0.29 0.055 0.113418 0.0560418 0
0.295 0.055 0.101331 0.0457206 0
0.3 0.055 0.111192 0.0549838 0
0.305 0.055 0.10893 0.0637508 0
0.31 0.055 0.092728 0.046884 0
0.315 0.055 0.104271 0.0498818 0
0.32 0.055 0.0933139 0.0581081 0
0.325 0.06 0.0918653 0.0457923 0
0.33 0.06 0.113701 0.0507826 0
0.335 0.06 0.0907217 0.0420425 0
0.34 0.06 0.0828644 0.0443173 0
0.345 0.065 0.119198 0.0480603 0
0.35 0.08 0.0843594 0.0429881 0
0.355 0.09 0.11313 0.0512001 0
0.36 0.09 0.1188 0.0509819 0
0.365 0.09 0.0955965 0.0529783 0
0.37 0.095 0.124213 0.0557099 0
0.375 0.095 0.119716 0.0545971 0
0.38 0.105 0.134847 0.0593956 0
0.385 0.105 0.144676 0.0615586 0
0.39 0.105 0.108739 0.0543884 0
0.395 0.105 0.143657 0.0695598 0
0.4 0.105 0.123194 0.0499575 0
0.405 0.105 0.14456 0.0581626 0
0.41 0.105 0.135001 0.0485392 0
0.415 0.105 0.136045 0.063597 0
0.42 0.125 0.147587 0.0606009 0
0.425 0.13 0.15125 0.057531 0
0.43 0.14 0.149803 0.0647592 0
0.435 0.14 0.174983 0.0796264 0
0.44 0.14 0.155742 0.0585112 0
0.445 0.14 0.167809 0.068717 0
