# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=300	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0567662 0.0301903 0
0.005 0.015 0.0616143 0.0306111 0
0.01 0.015 0.0585694 0.0327489 0
0.015 0.015 0.068936 0.0340642 0
0.02 0.015 0.0624136 0.0352726 0
0.025 0.015 0.0614802 0.0365308 0
0.03 0.015 0.0665342 0.0333467 0
0.035 0.015 0.0684857 0.034276 0
0.04 0.015 0.0720917 0.0395238 0
0.045 0.015 0.0576136 0.0304421 0
0.05 0.015 0.0666224 0.0385662 0
0.055 0.015 0.0669094 0.0359056 0
0.06 0.015 0.0714721 0.0385733 0
0.065 0.015 0.0618905 0.0334369 0
0.07 0.015 0.0731565 0.0317688 0
0.075 0.015 0.0719284 0.0345988 0
0.08 0.015 0.0617567 0.0326916 0
0.085 0.015 0.0684568 0.0382478 0
0.09 0.015 0.0627743 0.0365807 0
0.095 0.015 0.0676064 0.0332523 0
0.1 0.015 0.0725043 0.0356896 0
0.105 0.015 0.0709322 0.0386305 0
0.11 0.02 0.0604612 0.0348147 0
0.115 0.02 0.0648199 0.0341607 0
0.12 0.02 0.070096 0.0400947 0
0.125 0.02 0.0814575 0.0397985 0
0.13 0.02 0.0765028 0.0392743 0
0.135 0.025 0.073449 0.0372111 0
0.14 0.025 0.0758694 0.0398691 0
0.145 0.025 0.0759586 0.039708 0
0.15 0.025 0.0686862 0.0311272 0
0.155 0.025 0.081807 0.0453889 0
0.16 0.025 0.0755129 0.0356583 0
0.165 0.025 0.0702585 0.0418212 0
0.17 0.025 0.0788632 0.0368902 0
0.175 0.03 0.087465 0.0461606 0
0.18 0.03 0.0819885 0.044387 0
0.185 0.03 0.084477 0.0399064 0
0.19 0.03 0.0941902 0.0489716 0
0.195 0.03 0.084193 0.0420565 0
0.2 0.03 0.0769987 0.0397941 0
0.205 0.03 0.0921761 0.0408159 0
0.21 0.045 0.0782004 0.0414996 0
0.215 0.045 0.0861773 0.0368424 0
0.22 0.05 0.0868714 0.0393818 0
0.225 0.05 0.0906797 0.0481491 0
0.23 0.055 0.0838265 0.0476577 0
0.235 0.055 0.080825 0.0408435 0
0.24 0.055 0.0827934 0.0461334 0
0.245 0.055 0.0832647 0.0503556 0
0.25 0.055 0.079189 0.040351 0
0.255 0.055 0.0798235 0.0393523 0
0.26 0.055 0.0875071 0.0384383 0
0.265 0.055 0.087618 0.0442279 0
0.27 0.055 0.0856888 0.0426805 0
0.275 0.055 0.0931824 0.0407008 0
0.28 0.055 0.0912156 0.0470446 0
0.285 0.055 0.0931326 0.0499037 0
0.29 0.055 0.0902033 0.0460126 0
0.295 0.055 0.0900852 0.0463578 0
0.3 0.055 0.0884311 0.0442541 0
0.305 0.06 0.0902056 0.0406504 0
0.31 0.06 0.0814546 0.0439708 0
0.315 0.06 0.0925374 0.0435577 0
0.32 0.06 0.101068 0.0527823 0
0.325 0.06 0.0807132 0.0422217 0
0.33 0.06 0.0926647 0.047647 0
0.335 0.06 0.0831882 0.0527661 0
