# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557414566	 delta_t=0.1	 max_steps=10000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=37.5	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=2000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0393159 0.0203291 0
0.0405405 0.006 0.0417366 0.0201905 0
0.0810811 0.01 0.0443779 0.0232295 0
0.121622 0.01 0.0464737 0.0219236 0
0.162162 0.014 0.0499919 0.0256191 0
0.202703 0.018 0.0522794 0.0284121 0
0.243243 0.018 0.0526153 0.0267587 0
0.283784 0.024 0.0574723 0.0314085 0
0.324324 0.026 0.0684774 0.0346428 0
0.364865 0.028 0.07204 0.0402956 0
0.405405 0.046 0.0779026 0.03827 0
0.445946 0.056 0.0852666 0.0414093 0
0.486486 0.058 0.0814566 0.0462059 0
0.527027 0.068 0.0826364 0.0462908 0
0.567568 0.156 0.0748646 0.0369811 0
0.608108 0.204 0.100663 0.0488224 0
0.648649 0.41 0.109012 0.0493656 0
0.689189 0.478 0.13761 0.0357051 0
0.72973 0.564 0.100945 0.0353848 0
0.77027 0.59 0.151422 0.0303513 0
0.810811 0.664 0.355818 0.0402595 0
0.851351 0.708 0.413073 0.0330548 0
0.891892 0.732 0.509541 0.0235943 0
0.932432 0.752 0.557094 0.019149 0
0.972973 0.784 0.596809 0.0201022 0
1.01351 0.804 0.657898 0.020345 0
1.05405 0.834 0.696963 0.0170307 0
1.09459 0.862 0.732161 0.0122962 0
1.13514 0.872 0.752844 0.013226 0
1.17568 0.884 0.768373 0.0127122 0
1.21622 0.892 0.809879 0.0118747 0
1.25676 0.902 0.835586 0.00998792 0
1.2973 0.908 0.855307 0.0104261 0
1.33784 0.916 0.868238 0.00963053 0
1.37838 0.92 0.887431 0.00934743 0
1.41892 0.93 0.899333 0.00851643 0
1.45946 0.942 0.913373 0.00861286 0
