# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557414566	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=150	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0395402 0.0200878 0
0.01 0.006 0.0389661 0.0216705 0
0.02 0.006 0.0425996 0.0219177 0
0.03 0.006 0.038942 0.0197548 0
0.04 0.006 0.039591 0.0195734 0
0.05 0.008 0.042261 0.0188762 0
0.06 0.01 0.0422466 0.0223304 0
0.07 0.01 0.043558 0.0221708 0
0.08 0.01 0.0415203 0.0210997 0
0.09 0.01 0.0427021 0.0218775 0
0.1 0.01 0.044128 0.0240524 0
0.11 0.01 0.0442232 0.0224645 0
0.12 0.01 0.0434782 0.0241545 0
0.13 0.01 0.0464901 0.024484 0
0.14 0.012 0.0468633 0.0250564 0
0.15 0.012 0.0408002 0.0219857 0
0.16 0.014 0.0404066 0.0203047 0
0.17 0.014 0.0528722 0.0281779 0
0.18 0.014 0.0480584 0.0255177 0
0.19 0.018 0.0548681 0.0264829 0
0.2 0.018 0.0521998 0.0255399 0
0.21 0.018 0.0550067 0.0280967 0
0.22 0.018 0.0527232 0.0271203 0
0.23 0.018 0.0521832 0.0293703 0
0.24 0.018 0.0563187 0.0285043 0
0.25 0.018 0.058787 0.029553 0
0.26 0.018 0.0596169 0.0305906 0
0.27 0.024 0.0576899 0.032118 0
0.28 0.024 0.0594979 0.0300414 0
0.29 0.024 0.0700429 0.0321375 0
0.3 0.026 0.0630195 0.032115 0
0.31 0.026 0.0558865 0.0294114 0
0.32 0.026 0.0693786 0.0351251 0
0.33 0.026 0.0582259 0.0303086 0
0.34 0.026 0.0653023 0.0304888 0
0.35 0.028 0.064364 0.0331256 0
0.36 0.028 0.0675381 0.0283741 0
0.37 0.028 0.0675303 0.0331943 0
0.38 0.028 0.0714754 0.0340586 0
0.39 0.046 0.0737898 0.0369635 0
0.4 0.046 0.0775541 0.0402838 0
0.41 0.046 0.0851013 0.0419144 0
0.42 0.046 0.0813174 0.0413308 0
0.43 0.056 0.0753232 0.0371492 0
0.44 0.056 0.0876605 0.0466781 0
0.45 0.056 0.0664487 0.0313031 0
0.46 0.056 0.0832682 0.046151 0
0.47 0.056 0.0803885 0.0405199 0
0.48 0.058 0.0875197 0.0391319 0
0.49 0.058 0.0892555 0.0477519 0
0.5 0.058 0.0888546 0.0421655 0
0.51 0.064 0.0992718 0.0473378 0
0.52 0.068 0.0935946 0.0399168 0
0.53 0.104 0.0805506 0.0440654 0
0.54 0.104 0.0919635 0.0435553 0
0.55 0.132 0.0792341 0.0374987 0
0.56 0.156 0.0882459 0.0427374 0
0.57 0.156 0.0782211 0.0401665 0
0.58 0.156 0.0753571 0.0413409 0
0.59 0.16 0.0843946 0.0374678 0
0.6 0.182 0.0930336 0.0395342 0
