# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557414566	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.25	 fg_t_number=625	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.040143 0.0194822 0
0.002 0.004 0.044798 0.0253287 0
0.004 0.006 0.0384249 0.0172865 0
0.006 0.006 0.0401834 0.0132882 0
0.008 0.006 0.0469036 0.0235191 0
0.01 0.006 0.0417958 0.0173915 0
0.012 0.006 0.0445129 0.021315 0
0.014 0.006 0.0340576 0.0214711 0
0.016 0.006 0.0508401 0.0193472 0
0.018 0.006 0.0468552 0.0169906 0
0.02 0.006 0.0521652 0.021336 0
0.022 0.006 0.0485217 0.0196865 0
0.024 0.006 0.0418243 0.0239258 0
0.026 0.006 0.0517909 0.0226906 0
0.028 0.006 0.0479411 0.0298641 0
0.03 0.006 0.0467449 0.0174195 0
0.032 0.006 0.0389652 0.0217495 0
0.034 0.006 0.0442627 0.0211839 0
0.036 0.006 0.0418471 0.022837 0
0.038 0.006 0.0413337 0.018602 0
0.04 0.006 0.0451798 0.0239954 0
0.042 0.006 0.0414276 0.0195547 0
0.044 0.006 0.0411132 0.019572 0
0.046 0.006 0.0377647 0.0206055 0
0.048 0.008 0.0369793 0.0192273 0
0.05 0.008 0.0419119 0.0184895 0
0.052 0.008 0.0430394 0.0236727 0
0.054 0.008 0.0460662 0.0208827 0
0.056 0.008 0.0403758 0.0201915 0
0.058 0.008 0.0344878 0.0160056 0
0.06 0.01 0.0356144 0.0183879 0
0.062 0.01 0.041044 0.0219382 0
0.064 0.01 0.0385209 0.0183967 0
0.066 0.01 0.0510549 0.0184881 0
0.068 0.01 0.0386666 0.0226241 0
0.07 0.01 0.0485891 0.022829 0
0.072 0.01 0.0554871 0.0263422 0
0.074 0.01 0.0450946 0.0234396 0
0.076 0.01 0.0411939 0.0185917 0
0.078 0.01 0.0342476 0.0160891 0
0.08 0.01 0.0561232 0.0244156 0
0.082 0.01 0.0421083 0.0232522 0
0.084 0.01 0.0421717 0.0152503 0
0.086 0.01 0.0383074 0.0181732 0
0.088 0.01 0.049144 0.026548 0
0.09 0.01 0.0457569 0.0286256 0
0.092 0.01 0.047784 0.0198183 0
0.094 0.01 0.037297 0.018875 0
0.096 0.01 0.0435904 0.0219758 0
0.098 0.01 0.0409693 0.0228971 0
0.1 0.01 0.0483291 0.0223195 0
0.102 0.01 0.0456951 0.0221323 0
0.104 0.01 0.0328461 0.0138467 0
0.106 0.01 0.0509325 0.0189371 0
0.108 0.01 0.0360643 0.0190964 0
0.11 0.01 0.0411375 0.0234279 0
0.112 0.01 0.0402075 0.0163914 0
0.114 0.01 0.0424961 0.0222314 0
0.116 0.01 0.0434253 0.0209025 0
0.118 0.01 0.0414396 0.0240822 0
0.12 0.01 0.0507323 0.0233139 0
0.122 0.01 0.0463529 0.0239701 0
0.124 0.01 0.0425529 0.0188591 0
0.126 0.01 0.0451202 0.0203342 0
0.128 0.01 0.0418872 0.0254132 0
0.13 0.01 0.0477882 0.0249965 0
0.132 0.012 0.0478476 0.020523 0
0.134 0.012 0.0489511 0.023852 0
0.136 0.012 0.0429915 0.0221169 0
0.138 0.012 0.0438775 0.0217167 0
0.14 0.012 0.051749 0.025855 0
0.142 0.012 0.0439838 0.0225035 0
0.144 0.012 0.0486762 0.024982 0
0.146 0.012 0.0436842 0.0211558 0
0.148 0.012 0.0504017 0.0230562 0
0.15 0.012 0.0419181 0.0201477 0
0.152 0.012 0.046327 0.0247409 0
0.154 0.012 0.0539683 0.0273062 0
0.156 0.012 0.0409484 0.0204295 0
0.158 0.014 0.0396342 0.0199622 0
0.16 0.014 0.0533616 0.0257231 0
0.162 0.014 0.0509582 0.0298307 0
