# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557434111	 delta_t=0.01	 max_steps=10000	 in_between=10
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=0.9	 fg_t_number=450	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0389541 0.0194021 0
0.002 0.004 0.0391103 0.0192252 0
0.004 0.004 0.039284 0.0202109 0
0.006 0.004 0.0407209 0.0218534 0
0.008 0.004 0.0407133 0.0220103 0
0.01 0.004 0.038946 0.0211813 0
0.012 0.004 0.0419891 0.021998 0
0.014 0.004 0.0428783 0.0224882 0
0.016 0.004 0.0411215 0.0208553 0
0.018 0.004 0.037601 0.0202449 0
0.02 0.004 0.0390334 0.0211291 0
0.022 0.004 0.0405159 0.0214318 0
0.024 0.004 0.0378145 0.0210927 0
0.026 0.004 0.0396699 0.0195746 0
0.028 0.004 0.0421885 0.0204894 0
0.03 0.004 0.0444399 0.0223419 0
0.032 0.004 0.0429851 0.0214565 0
0.034 0.004 0.040231 0.0206976 0
0.036 0.004 0.0434714 0.0213925 0
0.038 0.004 0.039181 0.0201622 0
0.04 0.004 0.0402489 0.0229169 0
0.042 0.006 0.0403764 0.0205375 0
0.044 0.006 0.0404786 0.0216242 0
0.046 0.006 0.0414515 0.0225634 0
0.048 0.006 0.0421111 0.0212389 0
0.05 0.006 0.042595 0.0222469 0
0.052 0.006 0.0399892 0.0202717 0
0.054 0.006 0.0410975 0.0224488 0
0.056 0.006 0.0413639 0.0210049 0
0.058 0.006 0.0426611 0.0212657 0
0.06 0.006 0.0426683 0.022024 0
0.062 0.006 0.0431622 0.0231146 0
0.064 0.006 0.0428585 0.024044 0
0.066 0.006 0.0437109 0.0227253 0
0.068 0.006 0.0421187 0.0217773 0
0.07 0.006 0.0415255 0.0214153 0
0.072 0.006 0.0412431 0.0218344 0
0.074 0.006 0.0437674 0.0214158 0
0.076 0.006 0.0446447 0.0226422 0
0.078 0.006 0.0445217 0.0217134 0
0.08 0.006 0.0441697 0.0238523 0
0.082 0.006 0.0437376 0.0237465 0
0.084 0.006 0.0430334 0.0213358 0
0.086 0.006 0.0433287 0.0241926 0
0.088 0.006 0.0424529 0.0217422 0
0.09 0.006 0.0422339 0.0215314 0
0.092 0.006 0.0436043 0.0231672 0
0.094 0.006 0.0436966 0.0230051 0
0.096 0.006 0.0455087 0.0230818 0
0.098 0.006 0.0417718 0.0211053 0
0.1 0.006 0.0435546 0.0212598 0
0.102 0.006 0.0392876 0.0211926 0
0.104 0.006 0.0449183 0.0222304 0
0.106 0.006 0.0447394 0.023356 0
0.108 0.006 0.045811 0.0251204 0
0.11 0.006 0.0429198 0.0214273 0
0.112 0.006 0.0431519 0.0234673 0
0.114 0.006 0.0461446 0.0229441 0
0.116 0.006 0.0445701 0.0240003 0
0.118 0.006 0.0434642 0.0220553 0
0.12 0.006 0.0455171 0.0248016 0
0.122 0.006 0.0411117 0.0221091 0
0.124 0.006 0.0487359 0.0245551 0
0.126 0.006 0.0426169 0.0229041 0
0.128 0.006 0.0470562 0.0238203 0
0.13 0.006 0.044523 0.0235404 0
0.132 0.006 0.0444581 0.024219 0
0.134 0.006 0.046355 0.0243077 0
0.136 0.006 0.0455787 0.023466 0
0.138 0.008 0.0414577 0.0226036 0
0.14 0.008 0.0448657 0.0235234 0
0.142 0.008 0.0460583 0.0225019 0
0.144 0.008 0.045743 0.0231746 0
0.146 0.008 0.0489946 0.0256443 0
0.148 0.008 0.0451006 0.0228138 0
0.15 0.01 0.0457439 0.0234407 0
0.152 0.01 0.048559 0.0232127 0
0.154 0.01 0.0473061 0.0255172 0
0.156 0.01 0.049225 0.0239242 0
0.158 0.01 0.0468409 0.0240592 0
0.16 0.01 0.0460608 0.0243092 0
0.162 0.01 0.0469729 0.0235553 0
0.164 0.01 0.047981 0.0239267 0
0.166 0.01 0.0474027 0.0256884 0
0.168 0.01 0.0457665 0.0234023 0
0.17 0.01 0.0480479 0.02487 0
0.172 0.01 0.0478837 0.0252104 0
0.174 0.01 0.0454085 0.0239669 0
0.176 0.01 0.047224 0.0237736 0
0.178 0.01 0.0476609 0.0246263 0
0.18 0.01 0.0475409 0.0248952 0
0.182 0.01 0.0497882 0.024957 0
0.184 0.01 0.050497 0.0257167 0
0.186 0.01 0.0488252 0.0250418 0
0.188 0.01 0.0485361 0.0262638 0
0.19 0.012 0.050167 0.0262359 0
0.192 0.012 0.0492805 0.0261587 0
0.194 0.012 0.0482157 0.0259626 0
0.196 0.012 0.0554388 0.0299489 0
0.198 0.012 0.0503237 0.0243052 0
0.2 0.012 0.0537077 0.0270514 0
0.202 0.012 0.0485923 0.0249412 0
0.204 0.012 0.0494204 0.0257217 0
0.206 0.012 0.0484085 0.0250731 0
0.208 0.012 0.0533682 0.0281334 0
