# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557434111	 delta_t=0.1	 max_steps=2000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=0.9	 fg_t_number=450	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=2000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0407297 0.0194986 0
0.002 0.004 0.0387434 0.0193665 0
0.004 0.004 0.0362458 0.0167405 0
0.006 0.004 0.0434567 0.0196184 0
0.008 0.004 0.0417014 0.0197536 0
0.01 0.004 0.0377368 0.0192599 0
0.012 0.004 0.0380656 0.0205398 0
0.014 0.004 0.0397673 0.0181107 0
0.016 0.004 0.0401677 0.0210294 0
0.018 0.004 0.0402901 0.0196506 0
0.02 0.004 0.0392858 0.0179314 0
0.022 0.004 0.0383429 0.022181 0
0.024 0.004 0.0403502 0.02097 0
0.026 0.004 0.0350609 0.0164489 0
0.028 0.004 0.0432353 0.0216205 0
0.03 0.004 0.041537 0.0168215 0
0.032 0.004 0.0434282 0.0212913 0
0.034 0.004 0.0404667 0.022031 0
0.036 0.004 0.0496146 0.0276982 0
0.038 0.004 0.0343336 0.0190583 0
0.04 0.004 0.0408109 0.0238938 0
0.042 0.006 0.0482638 0.0179809 0
0.044 0.006 0.0404771 0.0231846 0
0.046 0.006 0.0320279 0.0184674 0
0.048 0.006 0.0418725 0.025406 0
0.05 0.006 0.0449946 0.0208859 0
0.052 0.006 0.0423838 0.0220276 0
0.054 0.006 0.0422764 0.0247005 0
0.056 0.006 0.0327509 0.0197578 0
0.058 0.006 0.042513 0.0221304 0
0.06 0.006 0.0478267 0.0264755 0
0.062 0.006 0.043768 0.0211472 0
0.064 0.006 0.0441334 0.0199267 0
0.066 0.006 0.0447688 0.0266487 0
0.068 0.006 0.0363932 0.0213475 0
0.07 0.006 0.0467725 0.0275298 0
0.072 0.006 0.0394699 0.0217309 0
0.074 0.006 0.0370425 0.0198898 0
0.076 0.006 0.0433468 0.0228401 0
0.078 0.006 0.0460677 0.0231406 0
0.08 0.006 0.0418215 0.0193438 0
0.082 0.006 0.0411165 0.0192605 0
0.084 0.006 0.0389133 0.0192508 0
0.086 0.006 0.0433999 0.0209164 0
0.088 0.006 0.0465505 0.0235707 0
0.09 0.006 0.0426389 0.0186437 0
0.092 0.006 0.0414216 0.0203645 0
0.094 0.006 0.0496505 0.0270104 0
0.096 0.006 0.0496605 0.0225381 0
0.098 0.006 0.043968 0.0212472 0
0.1 0.006 0.0449066 0.0222985 0
0.102 0.006 0.0413976 0.0260339 0
0.104 0.006 0.0407252 0.0208784 0
0.106 0.006 0.0427194 0.020699 0
