# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557434111	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=0.9	 fg_t_number=450	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0373299 0.0199133 0
0.002 0.004 0.0437763 0.0193257 0
0.004 0.004 0.0390609 0.0196797 0
0.006 0.004 0.0409518 0.0205161 0
0.008 0.004 0.0399673 0.0186423 0
0.01 0.004 0.0392165 0.0194808 0
0.012 0.004 0.0386193 0.0195548 0
0.014 0.004 0.042442 0.0223984 0
0.016 0.004 0.0442322 0.0227823 0
0.018 0.004 0.038285 0.0213554 0
0.02 0.004 0.0435646 0.0236782 0
0.022 0.004 0.0351095 0.0189321 0
0.024 0.004 0.0427463 0.0232156 0
0.026 0.004 0.0417154 0.019559 0
0.028 0.004 0.041261 0.0209995 0
0.03 0.004 0.0417652 0.0220387 0
0.032 0.004 0.0402433 0.0202255 0
0.034 0.004 0.0408004 0.0202916 0
0.036 0.004 0.0436312 0.019321 0
0.038 0.004 0.0432826 0.0214903 0
0.04 0.004 0.0409317 0.021818 0
0.042 0.006 0.03759 0.0184181 0
0.044 0.006 0.0402913 0.0233708 0
0.046 0.006 0.0414869 0.0224724 0
0.048 0.006 0.0393631 0.0218164 0
0.05 0.006 0.0429112 0.0240395 0
0.052 0.006 0.0386082 0.020002 0
0.054 0.006 0.0381329 0.0197822 0
0.056 0.006 0.0429294 0.0223382 0
0.058 0.006 0.0376927 0.0198968 0
0.06 0.006 0.040042 0.021679 0
0.062 0.006 0.041215 0.0210524 0
0.064 0.006 0.042941 0.022305 0
0.066 0.006 0.0402149 0.0225136 0
0.068 0.006 0.042143 0.0209126 0
0.07 0.006 0.0412333 0.0222324 0
0.072 0.006 0.0509112 0.0260044 0
0.074 0.006 0.0418927 0.0217423 0
0.076 0.006 0.0461826 0.0213396 0
0.078 0.006 0.0405913 0.0223274 0
0.08 0.006 0.0408812 0.0211212 0
0.082 0.006 0.0380281 0.0209758 0
0.084 0.006 0.041508 0.0200038 0
0.086 0.006 0.0466651 0.0239628 0
0.088 0.006 0.0393067 0.0198284 0
0.09 0.006 0.0449444 0.0226228 0
0.092 0.006 0.0407026 0.0219944 0
0.094 0.006 0.0388382 0.0202849 0
0.096 0.006 0.0405623 0.0220553 0
0.098 0.006 0.0464325 0.0238955 0
0.1 0.006 0.0391149 0.0185995 0
0.102 0.006 0.0461192 0.0214088 0
0.104 0.006 0.0432993 0.0225646 0
0.106 0.006 0.0433398 0.0226771 0
0.108 0.006 0.0492829 0.0238006 0
0.11 0.006 0.0456523 0.0230259 0
0.112 0.006 0.0447146 0.0228635 0
0.114 0.006 0.045912 0.0248707 0
0.116 0.006 0.0435281 0.0211825 0
0.118 0.006 0.0454876 0.0225044 0
0.12 0.006 0.042318 0.0231769 0
0.122 0.006 0.0435298 0.0179023 0
0.124 0.006 0.0425783 0.0240092 0
0.126 0.006 0.0412355 0.0206534 0
0.128 0.006 0.0468528 0.0237708 0
0.13 0.006 0.0460641 0.0228926 0
0.132 0.006 0.0449182 0.0198673 0
0.134 0.006 0.0444851 0.0227175 0
0.136 0.006 0.0427654 0.0204334 0
0.138 0.008 0.0454704 0.0227153 0
0.14 0.008 0.0500625 0.0241267 0
0.142 0.008 0.0457972 0.024685 0
0.144 0.008 0.0454582 0.0202704 0
0.146 0.008 0.0446292 0.0239257 0
0.148 0.008 0.0480096 0.0267036 0
0.15 0.01 0.0471518 0.0217842 0
0.152 0.01 0.0443074 0.0239929 0
0.154 0.01 0.0447716 0.0255337 0
0.156 0.01 0.0475208 0.0237127 0
0.158 0.01 0.0513054 0.0263428 0
0.16 0.01 0.0474852 0.0248926 0
0.162 0.01 0.0455008 0.0244824 0
0.164 0.01 0.0429899 0.0218037 0
0.166 0.01 0.0482108 0.0235012 0
0.168 0.01 0.0494663 0.0275527 0
0.17 0.01 0.0453807 0.0260902 0
0.172 0.01 0.0519041 0.0253079 0
0.174 0.01 0.0519392 0.0250329 0
0.176 0.01 0.0504176 0.0266422 0
0.178 0.01 0.0519857 0.0238138 0
0.18 0.01 0.0442716 0.022562 0
0.182 0.01 0.0424033 0.0209638 0
0.184 0.01 0.0465842 0.0205609 0
0.186 0.01 0.0447125 0.0226702 0
0.188 0.01 0.0499289 0.022703 0
0.19 0.012 0.0486177 0.0231019 0
0.192 0.012 0.050734 0.026642 0
0.194 0.012 0.046076 0.0222643 0
0.196 0.012 0.0532864 0.0267528 0
0.198 0.012 0.0526837 0.0300274 0
0.2 0.012 0.0537048 0.0242559 0
0.202 0.012 0.049711 0.0264037 0
0.204 0.012 0.0495218 0.0276124 0
0.206 0.012 0.0563391 0.0290742 0
0.208 0.012 0.0504201 0.0240335 0
0.21 0.012 0.0511101 0.0305104 0
0.212 0.012 0.0506038 0.0239521 0
0.214 0.012 0.0573818 0.0271404 0
0.216 0.012 0.0581403 0.0297562 0
0.218 0.012 0.0466912 0.0237909 0
0.22 0.014 0.0517152 0.0268073 0
0.222 0.014 0.0557016 0.0280379 0
0.224 0.016 0.052778 0.0235042 0
0.226 0.016 0.0522318 0.025732 0
0.228 0.016 0.0501377 0.0267785 0
0.23 0.016 0.0529026 0.0267699 0
0.232 0.016 0.055093 0.0284243 0
0.234 0.016 0.0520854 0.025369 0
0.236 0.016 0.0535798 0.0286744 0
0.238 0.016 0.0501364 0.0278721 0
0.24 0.016 0.0498121 0.0249611 0
0.242 0.016 0.0575632 0.0280899 0
0.244 0.016 0.0569357 0.0299191 0
0.246 0.016 0.0573748 0.0308501 0
0.248 0.016 0.0527072 0.0268295 0
0.25 0.016 0.0508814 0.024215 0
0.252 0.016 0.0563009 0.0284302 0
0.254 0.016 0.0559791 0.0305814 0
0.256 0.016 0.0589742 0.0295178 0
0.258 0.016 0.0561108 0.0250366 0
0.26 0.016 0.0569861 0.0271227 0
0.262 0.016 0.0503388 0.0257637 0
0.264 0.016 0.053395 0.0293248 0
0.266 0.016 0.0557365 0.0305085 0
0.268 0.016 0.0569844 0.0291459 0
0.27 0.016 0.0613194 0.0309279 0
0.272 0.016 0.0556347 0.0278266 0
0.274 0.016 0.0481848 0.0263803 0
0.276 0.016 0.0573276 0.0282411 0
0.278 0.018 0.0540674 0.0272435 0
0.28 0.018 0.0609746 0.0323848 0
