# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=100
# initial_seed=1557245412	 delta_t=0.01	 max_steps=5000	 in_between=10
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.25	 fg_t_number=625	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0393965 0.0209544 0
0.002 0.004 0.0407131 0.0203563 0
0.004 0.004 0.0369299 0.0199893 0
0.006 0.004 0.0419817 0.0203807 0
0.008 0.004 0.0403006 0.0212254 0
0.01 0.004 0.042799 0.0200735 0
0.012 0.004 0.0441879 0.0220294 0
0.014 0.004 0.0411651 0.0224923 0
0.016 0.004 0.0392 0.0240017 0
0.018 0.004 0.0392737 0.021277 0
0.02 0.004 0.0418931 0.0218318 0
0.022 0.004 0.040364 0.021106 0
0.024 0.004 0.0414955 0.0216381 0
0.026 0.004 0.0403041 0.019516 0
0.028 0.004 0.0383965 0.0205718 0
0.03 0.004 0.0376525 0.0199118 0
0.032 0.004 0.0363971 0.0180318 0
0.034 0.004 0.0398217 0.0215753 0
0.036 0.004 0.0402202 0.0183529 0
0.038 0.008 0.045407 0.0243072 0
0.04 0.008 0.0392822 0.0192305 0
0.042 0.008 0.0420633 0.0227945 0
0.044 0.008 0.0415509 0.0219854 0
0.046 0.008 0.0437468 0.0222168 0
0.048 0.008 0.0434181 0.0222754 0
0.05 0.008 0.044495 0.0221889 0
0.052 0.008 0.0442955 0.0234625 0
0.054 0.008 0.0403561 0.0212469 0
0.056 0.008 0.039373 0.0224544 0
0.058 0.008 0.0400604 0.0214621 0
0.06 0.008 0.0410639 0.0239472 0
0.062 0.008 0.0426257 0.0211843 0
0.064 0.008 0.0425538 0.0216398 0
0.066 0.008 0.0451459 0.0226025 0
0.068 0.008 0.0472624 0.0231238 0
0.07 0.008 0.0411258 0.0207814 0
0.072 0.008 0.0408928 0.0200909 0
0.074 0.008 0.0409343 0.0190198 0
0.076 0.008 0.0464837 0.0225191 0
0.078 0.008 0.0425991 0.0232682 0
0.08 0.008 0.0423814 0.0189418 0
0.082 0.008 0.043896 0.0214962 0
0.084 0.008 0.0398788 0.0236288 0
0.086 0.008 0.0396074 0.022281 0
0.088 0.008 0.0427572 0.0222795 0
0.09 0.008 0.0436643 0.0235714 0
0.092 0.008 0.0430111 0.0219272 0
0.094 0.008 0.0401672 0.0198056 0
0.096 0.008 0.0515491 0.0246433 0
0.098 0.008 0.0478544 0.0234568 0
0.1 0.008 0.045353 0.0244077 0
0.102 0.008 0.0420804 0.0216686 0
0.104 0.008 0.043616 0.0213558 0
0.106 0.008 0.047851 0.0260629 0
0.108 0.008 0.0456142 0.0228061 0
0.11 0.008 0.0459231 0.0239885 0
0.112 0.008 0.0423383 0.0228775 0
0.114 0.008 0.0488878 0.0273493 0
0.116 0.008 0.0439478 0.0229619 0
0.118 0.008 0.0416839 0.0218273 0
0.12 0.008 0.0442428 0.0224987 0
0.122 0.008 0.0435575 0.0204635 0
0.124 0.008 0.0439557 0.024758 0
0.126 0.008 0.0487338 0.022554 0
0.128 0.008 0.0431756 0.0213734 0
0.13 0.008 0.0471351 0.0246661 0
0.132 0.008 0.0485407 0.0237907 0
0.134 0.008 0.0456433 0.0228164 0
0.136 0.008 0.0427519 0.0211068 0
0.138 0.008 0.0475051 0.0275759 0
0.14 0.008 0.0438922 0.0215544 0
0.142 0.008 0.0438308 0.0230039 0
0.144 0.008 0.0497754 0.0246747 0
0.146 0.008 0.0490431 0.0288014 0
0.148 0.008 0.0447904 0.0234845 0
0.15 0.008 0.0429602 0.0246137 0
0.152 0.008 0.0456464 0.0257317 0
0.154 0.008 0.0469213 0.0254642 0
0.156 0.008 0.0487856 0.0235581 0
0.158 0.008 0.0470668 0.0239636 0
0.16 0.008 0.0512064 0.024832 0
0.162 0.008 0.0533273 0.0267656 0
0.164 0.008 0.0488196 0.0247885 0
0.166 0.008 0.0491784 0.0269061 0
0.168 0.008 0.0548941 0.0252651 0
0.17 0.008 0.0465053 0.0283851 0
0.172 0.008 0.0438705 0.0227848 0
0.174 0.008 0.0458394 0.023737 0
0.176 0.008 0.0469457 0.025173 0
0.178 0.008 0.0469093 0.024043 0
0.18 0.008 0.0495117 0.0262804 0
0.182 0.008 0.0492057 0.0248361 0
0.184 0.008 0.0533488 0.0273547 0
0.186 0.008 0.0518104 0.0284822 0
0.188 0.008 0.0504372 0.0249816 0
0.19 0.008 0.0450635 0.0242837 0
0.192 0.008 0.0485336 0.0280802 0
0.194 0.008 0.0529591 0.0262226 0
0.196 0.008 0.0496536 0.0263816 0
0.198 0.008 0.046329 0.0258199 0
0.2 0.008 0.0526714 0.0264833 0
0.202 0.008 0.048165 0.0242279 0
0.204 0.008 0.0531885 0.0276612 0
0.206 0.008 0.0542662 0.0256962 0
0.208 0.01 0.0472362 0.0240582 0
0.21 0.01 0.0517713 0.0256739 0
0.212 0.01 0.0522009 0.0280964 0
0.214 0.01 0.0521732 0.0264355 0
0.216 0.01 0.0434995 0.022432 0
0.218 0.012 0.0543588 0.0307492 0
0.22 0.012 0.0562955 0.0280349 0
0.222 0.012 0.0520774 0.0259255 0
0.224 0.012 0.0552036 0.0272155 0
0.226 0.012 0.0491009 0.0253953 0
0.228 0.012 0.0510778 0.0296609 0
0.23 0.012 0.0560532 0.0285211 0
0.232 0.012 0.0471338 0.0283715 0
0.234 0.012 0.0494826 0.0276084 0
0.236 0.012 0.0480308 0.0221121 0
0.238 0.012 0.0596904 0.0350319 0
0.24 0.012 0.0547924 0.0292389 0
0.242 0.012 0.0542956 0.0306489 0
0.244 0.012 0.0503668 0.0253534 0
0.246 0.012 0.0570316 0.0279238 0
0.248 0.012 0.0602285 0.0323682 0
0.25 0.012 0.0547804 0.0289132 0
0.252 0.012 0.0513332 0.0262749 0
0.254 0.012 0.0496456 0.0229436 0
0.256 0.012 0.0533609 0.0287275 0
0.258 0.012 0.0537579 0.0263092 0
0.26 0.012 0.0562952 0.0278582 0
0.262 0.012 0.0590012 0.0295509 0
0.264 0.012 0.0598574 0.0272512 0
0.266 0.012 0.062479 0.0311329 0
0.268 0.012 0.0509762 0.0268099 0
0.27 0.012 0.0515827 0.0270716 0
0.272 0.012 0.0593843 0.0308872 0
0.274 0.014 0.0558904 0.0300081 0
0.276 0.014 0.0582844 0.0297756 0
0.278 0.014 0.0529547 0.0279093 0
0.28 0.014 0.0507609 0.0265776 0
0.282 0.014 0.0543753 0.029615 0
0.284 0.016 0.0640498 0.0327187 0
0.286 0.016 0.0592553 0.0297883 0
0.288 0.016 0.0593729 0.0308249 0
0.29 0.016 0.0636269 0.0331734 0
0.292 0.016 0.0548387 0.0288638 0
0.294 0.016 0.0560148 0.0288007 0
0.296 0.016 0.0515414 0.0306317 0
0.298 0.016 0.0567212 0.0293332 0
0.3 0.016 0.057486 0.0320477 0
0.302 0.016 0.0618189 0.0319953 0
0.304 0.018 0.0588916 0.0316841 0
0.306 0.026 0.0624661 0.0296775 0
0.308 0.03 0.064735 0.028062 0
0.31 0.03 0.068062 0.0366276 0
0.312 0.03 0.0581479 0.0300457 0
0.314 0.03 0.0639007 0.032668 0
0.316 0.03 0.0639475 0.0319252 0
0.318 0.03 0.0608217 0.0324088 0
0.32 0.03 0.0575701 0.0307236 0
0.322 0.03 0.0736056 0.0326709 0
0.324 0.03 0.0576454 0.0276102 0
0.326 0.03 0.0580971 0.0286994 0
0.328 0.03 0.0660851 0.0321284 0
0.33 0.03 0.065233 0.0359864 0
0.332 0.03 0.0610495 0.0332024 0
0.334 0.03 0.0629913 0.0314431 0
0.336 0.03 0.0652198 0.0345734 0
0.338 0.03 0.0746377 0.0427946 0
0.34 0.03 0.0578122 0.0283499 0
0.342 0.03 0.0835932 0.0451575 0
0.344 0.03 0.0709207 0.0336683 0
0.346 0.03 0.074681 0.0392876 0
0.348 0.032 0.0689135 0.0401066 0
0.35 0.04 0.0689709 0.0297454 0
0.352 0.04 0.0679029 0.0393689 0
0.354 0.04 0.0676908 0.0327016 0
0.356 0.04 0.0738011 0.0333409 0
0.358 0.042 0.0815525 0.0423327 0
0.36 0.042 0.0703543 0.0362251 0
0.362 0.042 0.0569635 0.0312224 0
0.364 0.042 0.0735389 0.0329445 0
0.366 0.042 0.0617563 0.0335215 0
0.368 0.042 0.0808324 0.0383543 0
0.37 0.042 0.0627432 0.0295881 0
0.372 0.042 0.0758482 0.0340191 0
0.374 0.042 0.0634036 0.0291055 0
0.376 0.042 0.0576632 0.0328799 0
0.378 0.042 0.0756129 0.0391002 0
0.38 0.042 0.0665123 0.0334485 0
0.382 0.042 0.0758271 0.0367225 0
0.384 0.05 0.0730647 0.039173 0
0.386 0.05 0.0717779 0.0325526 0
0.388 0.05 0.075467 0.0366857 0
0.39 0.05 0.076621 0.0365131 0
0.392 0.05 0.0805451 0.038499 0
0.394 0.05 0.072087 0.0400593 0
0.396 0.05 0.0800876 0.0429966 0
0.398 0.05 0.0787234 0.0413121 0
0.4 0.05 0.0658409 0.0311838 0
0.402 0.05 0.0648276 0.032246 0
0.404 0.05 0.0676942 0.0297295 0
0.406 0.05 0.0795675 0.0378542 0
0.408 0.062 0.0902941 0.0437622 0
0.41 0.062 0.0921896 0.0384812 0
0.412 0.062 0.0956317 0.040596 0
0.414 0.062 0.0756491 0.0416253 0
0.416 0.062 0.087895 0.0430712 0
0.418 0.062 0.0848141 0.039733 0
0.42 0.062 0.088831 0.0433559 0
0.422 0.062 0.0916957 0.0400694 0
0.424 0.062 0.0875561 0.0379227 0
0.426 0.062 0.0921906 0.0413877 0
0.428 0.062 0.0717993 0.0358576 0
0.43 0.066 0.0885502 0.0395767 0
0.432 0.074 0.0975793 0.0486947 0
0.434 0.074 0.0941442 0.0476224 0
0.436 0.076 0.100819 0.044505 0
0.438 0.076 0.101913 0.0492315 0
0.44 0.076 0.106446 0.0401983 0
0.442 0.076 0.093617 0.0413774 0
0.444 0.076 0.0958232 0.0390221 0
0.446 0.076 0.103328 0.0490012 0
0.448 0.076 0.100023 0.0464939 0
0.45 0.076 0.0986502 0.0459755 0
0.452 0.076 0.102041 0.050419 0
0.454 0.076 0.105422 0.054656 0
0.456 0.076 0.090404 0.0408984 0
0.458 0.076 0.106747 0.0625624 0
0.46 0.078 0.102066 0.0393216 0
0.462 0.078 0.107841 0.0503505 0
0.464 0.078 0.0935818 0.0444449 0
0.466 0.078 0.100383 0.0470493 0
0.468 0.078 0.0975744 0.044734 0
0.47 0.078 0.104509 0.0483371 0
0.472 0.078 0.104099 0.0455233 0
0.474 0.078 0.102868 0.0446052 0
0.476 0.078 0.106429 0.048512 0
0.478 0.078 0.101432 0.0476627 0
0.48 0.078 0.103182 0.047503 0
0.482 0.078 0.102351 0.0445364 0
0.484 0.078 0.110766 0.0481283 0
0.486 0.08 0.105855 0.0526037 0
0.488 0.08 0.105501 0.0515123 0
0.49 0.08 0.106649 0.0498354 0
0.492 0.08 0.103501 0.0540755 0
0.494 0.08 0.102698 0.0464191 0
0.496 0.08 0.117673 0.0496937 0
0.498 0.08 0.111723 0.052782 0
0.5 0.084 0.120176 0.0584058 0
0.502 0.084 0.12457 0.0597387 0
0.504 0.084 0.10143 0.0541449 0
0.506 0.084 0.114596 0.0614517 0
0.508 0.092 0.122836 0.0549273 0
0.51 0.092 0.12996 0.0597771 0
0.512 0.092 0.121279 0.0547865 0
0.514 0.092 0.133992 0.063367 0
0.516 0.092 0.142202 0.0705979 0
0.518 0.096 0.144288 0.0650008 0
0.52 0.096 0.135483 0.0578161 0
0.522 0.096 0.127724 0.062114 0
0.524 0.096 0.127775 0.059991 0
0.526 0.1 0.154846 0.0775458 0
0.528 0.1 0.156436 0.0740957 0
0.53 0.1 0.145056 0.0609289 0
0.532 0.102 0.146898 0.0715374 0
0.534 0.102 0.148538 0.0726932 0
0.536 0.198 0.201654 0.0535982 0
0.538 0.198 0.190261 0.0559445 0
0.54 0.204 0.195916 0.0592706 0
0.542 0.204 0.189222 0.0653948 0
0.544 0.204 0.184301 0.0531171 0
0.546 0.204 0.194266 0.0581983 0
0.548 0.228 0.221792 0.0723328 0
0.55 0.268 0.240558 0.0572414 0
0.552 0.268 0.237923 0.0573295 0
0.554 0.27 0.246731 0.0722947 0
0.556 0.27 0.246399 0.0486779 0
0.558 0.27 0.232747 0.0600933 0
0.56 0.274 0.248868 0.070066 0
0.562 0.276 0.257527 0.0619999 0
0.564 0.276 0.2531 0.0463272 0
0.566 0.276 0.248802 0.0421294 0
0.568 0.278 0.247898 0.052685 0
0.57 0.278 0.254253 0.0594165 0
0.572 0.278 0.251315 0.0635606 0
0.574 0.28 0.246123 0.061798 0
0.576 0.28 0.251707 0.0627047 0
0.578 0.294 0.268164 0.0556216 0
0.58 0.308 0.282794 0.0579585 0
0.582 0.308 0.262177 0.0589188 0
0.584 0.316 0.243032 0.0434599 0
0.586 0.326 0.273625 0.0625405 0
0.588 0.326 0.260344 0.0554458 0
0.59 0.328 0.306008 0.0583107 0
0.592 0.328 0.28426 0.0627328 0
0.594 0.332 0.281081 0.0461156 0
0.596 0.332 0.27545 0.0616287 0
0.598 0.34 0.303424 0.0608038 0
0.6 0.344 0.303687 0.0587901 0
0.602 0.344 0.283283 0.0585481 0
0.604 0.344 0.327793 0.0577174 0
0.606 0.344 0.335706 0.0642309 0
0.608 0.346 0.35914 0.0492343 0
0.61 0.346 0.311679 0.0518487 0
0.612 0.35 0.34204 0.0508103 0
0.614 0.35 0.344798 0.0581984 0
0.616 0.366 0.331861 0.0534083 0
0.618 0.366 0.327944 0.0476612 0
0.62 0.366 0.414506 0.0355132 0
0.622 0.366 0.325841 0.0467452 0
0.624 0.366 0.30723 0.0467137 0
0.626 0.366 0.360085 0.0673539 0
0.628 0.37 0.337736 0.053717 0
0.63 0.372 0.353505 0.056883 0
0.632 0.372 0.37109 0.0696582 0
0.634 0.374 0.357996 0.0645576 0
0.636 0.376 0.371027 0.0639827 0
0.638 0.376 0.378797 0.0624266 0
0.64 0.376 0.382194 0.0606751 0
0.642 0.376 0.377611 0.0690972 0
0.644 0.376 0.367838 0.0732728 0
0.646 0.388 0.409316 0.0686059 0
0.648 0.388 0.396695 0.0776466 0
0.65 0.388 0.381484 0.0725064 0
0.652 0.388 0.382775 0.0739773 0
0.654 0.388 0.405611 0.0695801 0
0.656 0.396 0.385303 0.0795722 0
0.658 0.4 0.402852 0.0702535 0
0.66 0.404 0.397809 0.069271 0
0.662 0.404 0.396839 0.0698503 0
0.664 0.406 0.408382 0.072316 0
0.666 0.406 0.41725 0.0696683 0
0.668 0.412 0.389409 0.0731612 0
0.67 0.412 0.423752 0.0703185 0
0.672 0.414 0.429219 0.0776324 0
0.674 0.516 0.496136 0.0309642 0
0.676 0.516 0.497612 0.0350326 0
0.678 0.518 0.495238 0.0290469 0
0.68 0.518 0.500232 0.0311854 0
0.682 0.52 0.49038 0.029323 0
0.684 0.536 0.497765 0.0316655 0
0.686 0.536 0.501522 0.0283667 0
0.688 0.536 0.501524 0.0291153 0
0.69 0.538 0.49648 0.0274911 0
0.692 0.538 0.494468 0.0267748 0
0.694 0.538 0.501469 0.0285089 0
0.696 0.54 0.495922 0.030076 0
0.698 0.544 0.505451 0.027 0
0.7 0.544 0.507687 0.0298133 0
0.702 0.544 0.507611 0.0273277 0
0.704 0.546 0.511911 0.0312762 0
0.706 0.548 0.509269 0.0252691 0
0.708 0.55 0.504799 0.0318266 0
0.71 0.55 0.505421 0.0308876 0
0.712 0.55 0.513383 0.0291829 0
0.714 0.558 0.517477 0.0298933 0
0.716 0.558 0.531907 0.0306452 0
0.718 0.56 0.535032 0.0272622 0
0.72 0.566 0.549099 0.0316443 0
0.722 0.572 0.550181 0.0245625 0
0.724 0.574 0.550642 0.0322654 0
0.726 0.574 0.557318 0.0300106 0
0.728 0.576 0.548126 0.0280986 0
0.73 0.58 0.559413 0.0299274 0
0.732 0.58 0.560199 0.0284453 0
0.734 0.58 0.558738 0.0295042 0
0.736 0.58 0.562908 0.028376 0
0.738 0.582 0.5637 0.02658 0
0.74 0.586 0.563141 0.0300421 0
0.742 0.586 0.568071 0.0299325 0
0.744 0.588 0.564157 0.0299507 0
0.746 0.598 0.575826 0.0259937 0
0.748 0.598 0.580014 0.0313269 0
0.75 0.598 0.579339 0.0295182 0
0.752 0.6 0.584046 0.0322798 0
0.754 0.602 0.584516 0.0242512 0
0.756 0.602 0.586517 0.0307623 0
0.758 0.604 0.588018 0.0256255 0
0.76 0.604 0.585701 0.0300267 0
0.762 0.604 0.591075 0.0275285 0
0.764 0.606 0.590032 0.0278875 0
0.766 0.606 0.591855 0.0270742 0
0.768 0.606 0.589194 0.0265643 0
0.77 0.618 0.607168 0.0258886 0
0.772 0.618 0.600966 0.0282349 0
0.774 0.618 0.607671 0.0303494 0
0.776 0.618 0.609117 0.0251438 0
0.778 0.618 0.606892 0.0295271 0
0.78 0.618 0.604588 0.0309099 0
0.782 0.62 0.617571 0.0288598 0
0.784 0.62 0.61583 0.0299208 0
0.786 0.622 0.617123 0.0267726 0
0.788 0.622 0.614129 0.0292637 0
0.79 0.624 0.617059 0.0301524 0
0.792 0.624 0.614571 0.0276781 0
0.794 0.628 0.62225 0.029038 0
0.796 0.628 0.622665 0.0308129 0
0.798 0.628 0.619137 0.026409 0
0.8 0.628 0.624826 0.0285293 0
0.802 0.63 0.62428 0.0284096 0
0.804 0.63 0.626208 0.0257646 0
0.806 0.63 0.623304 0.0268071 0
0.808 0.632 0.627368 0.0242474 0
0.81 0.632 0.627715 0.0295858 0
0.812 0.634 0.632655 0.0314656 0
0.814 0.646 0.643618 0.0264318 0
0.816 0.646 0.634574 0.0253716 0
0.818 0.648 0.646008 0.0266518 0
0.82 0.648 0.643846 0.0265114 0
