# Pasos	Frecuencia_relativa
-3.25456 0.161196
-3.24836 0
-3.24215 0
-3.23595 0
-3.22975 0
-3.22354 0
-3.21734 0
-3.21114 0.161196
-3.20493 0
-3.19873 0
-3.19253 0
-3.18632 0
-3.18012 0
-3.17391 0
-3.16771 0.161196
-3.16151 0
-3.1553 0
-3.1491 0
-3.1429 0
-3.13669 0
-3.13049 0
-3.12429 0
-3.11808 0
-3.11188 0
-3.10567 0
-3.09947 0
-3.09327 0
-3.08706 0
-3.08086 0
-3.07466 0
-3.06845 0
-3.06225 0
-3.05605 0
-3.04984 0
-3.04364 0
-3.03744 0
-3.03123 0
-3.02503 0
-3.01882 0
-3.01262 0
-3.00642 0
-3.00021 0
-2.99401 0.161196
-2.98781 0
-2.9816 0
-2.9754 0
-2.9692 0
-2.96299 0
-2.95679 0
-2.95058 0
-2.94438 0
-2.93818 0
-2.93197 0
-2.92577 0
-2.91957 0
-2.91336 0
-2.90716 0
-2.90096 0
-2.89475 0
-2.88855 0
-2.88234 0
-2.87614 0
-2.86994 0
-2.86373 0
-2.85753 0
-2.85133 0
-2.84512 0
-2.83892 0
-2.83272 0
-2.82651 0.161196
-2.82031 0.161196
-2.81411 0.161196
-2.8079 0
-2.8017 0
-2.79549 0
-2.78929 0
-2.78309 0
-2.77688 0
-2.77068 0
-2.76448 0
-2.75827 0
-2.75207 0
-2.74587 0.322393
-2.73966 0
-2.73346 0
-2.72725 0
-2.72105 0
-2.71485 0
-2.70864 0
-2.70244 0
-2.69624 0
-2.69003 0
-2.68383 0
-2.67763 0
-2.67142 0
-2.66522 0
-2.65901 0
-2.65281 0.161196
-2.64661 0.161196
-2.6404 0
-2.6342 0
-2.628 0
-2.62179 0
-2.61559 0
-2.60939 0.161196
-2.60318 0
-2.59698 0
-2.59078 0
-2.58457 0
-2.57837 0
-2.57216 0
-2.56596 0.161196
-2.55976 0
-2.55355 0
-2.54735 0
-2.54115 0
-2.53494 0
-2.52874 0
-2.52254 0
-2.51633 0
-2.51013 0
-2.50392 0
-2.49772 0
-2.49152 0
-2.48531 0.161196
-2.47911 0
-2.47291 0
-2.4667 0
-2.4605 0
-2.4543 0
-2.44809 0
-2.44189 0
-2.43568 0
-2.42948 0
-2.42328 0
-2.41707 0
-2.41087 0
-2.40467 0
-2.39846 0
-2.39226 0
-2.38606 0
-2.37985 0
-2.37365 0
-2.36745 0.161196
-2.36124 0
-2.35504 0
-2.34883 0.161196
-2.34263 0
-2.33643 0
-2.33022 0
-2.32402 0
-2.31782 0
-2.31161 0
-2.30541 0
-2.29921 0
-2.293 0.161196
-2.2868 0
-2.28059 0.161196
-2.27439 0
-2.26819 0.161196
-2.26198 0
-2.25578 0.161196
-2.24958 0
-2.24337 0
-2.23717 0
-2.23097 0
-2.22476 0
-2.21856 0.161196
-2.21236 0
-2.20615 0
-2.19995 0.161196
-2.19374 0
-2.18754 0
-2.18134 0.161196
-2.17513 0
-2.16893 0
-2.16273 0
-2.15652 0
-2.15032 0
-2.14412 0.161196
-2.13791 0
-2.13171 0
-2.1255 0
-2.1193 0.161196
-2.1131 0
-2.10689 0.161196
-2.10069 0
-2.09449 0.161196
-2.08828 0
-2.08208 0.322393
-2.07588 0
-2.06967 0
-2.06347 0
-2.05726 0
-2.05106 0.161196
-2.04486 0.161196
-2.03865 0
-2.03245 0
-2.02625 0
-2.02004 0
-2.01384 0
-2.00764 0.322393
-2.00143 0.161196
-1.99523 0.161196
-1.98903 0.322393
-1.98282 0
-1.97662 0.161196
-1.97041 0
-1.96421 0.161196
-1.95801 0.161196
-1.9518 0
-1.9456 0
-1.9394 0
-1.93319 0.322393
-1.92699 0.161196
-1.92079 0
-1.91458 0
-1.90838 0
-1.90217 0.322393
-1.89597 0.161196
-1.88977 0
-1.88356 0
-1.87736 0.322393
-1.87116 0
-1.86495 0
-1.85875 0
-1.85255 0
-1.84634 0.161196
-1.84014 0
-1.83393 0
-1.82773 0
